otu	Medellin	Bogota	Barranquilla	Bucaramanga	Cali
Otu00001	78	65	68	62	57
Otu00002	91	77	80	67	65
Otu00003	95	83	84	72	70
Otu00004	97	84	85	73	70
Otu00005	97	85	83	72	70
Otu00006	87	78	76	70	64
Otu00007	93	80	82	69	61
Otu00008	96	81	83	72	67
Otu00009	83	60	83	69	68
Otu00010	88	84	80	70	64
Otu00011	70	59	55	56	53
Otu00012	94	84	76	69	70
Otu00013	90	81	71	69	69
Otu00014	96	84	84	71	68
Otu00016	92	81	74	70	65
Otu00017	95	81	83	73	64
Otu00019	62	55	61	45	45
Otu00020	95	82	80	71	64
Otu00021	93	77	74	67	66
Otu00022	96	82	84	70	68
Otu00024	95	85	85	72	68
Otu00025	90	81	77	72	64
Otu00026	91	81	78	63	67
Otu00027	85	79	72	66	58
Otu00028	69	57	55	52	44
Otu00029	95	79	82	68	64
Otu00030	95	85	83	70	63
Otu00031	50	53	43	33	44
Otu00033	79	72	65	62	61
Otu00034	74	67	67	53	43
Otu00035	94	85	80	70	65
Otu00036	52	53	39	34	45
Otu00037	96	85	85	71	70
Otu00040	86	74	72	63	57
Otu00041	87	75	74	65	57
Otu00043	82	73	67	67	58
Otu00044	84	74	77	66	65
Otu00045	88	78	72	52	56
Otu00046	91	85	83	68	63
Otu00047	72	65	65	54	56
Otu00049	70	59	59	58	55
Otu00050	81	73	68	57	59
Otu00051	14	21	12	16	10
Otu00053	18	9	43	13	11
Otu00056	86	81	72	65	59
Otu00057	81	66	64	50	46
Otu00058	96	83	67	52	49
Otu00059	95	85	81	72	61
Otu00060	69	61	39	43	44
Otu00063	77	71	54	59	52
Otu00064	86	80	78	64	60
Otu00066	90	84	75	67	61
Otu00068	71	44	65	37	44
Otu00073	74	56	69	55	44
Otu00074	78	63	57	43	45
Otu00075	66	57	58	53	45
Otu00076	87	69	72	59	61
Otu00077	59	45	48	54	46
Otu00078	40	46	33	34	28
Otu00080	69	54	55	59	52
Otu00082	64	52	45	47	38
Otu00083	95	82	82	68	61
Otu00084	66	64	58	58	55
Otu00085	89	77	75	59	56
Otu00093	32	35	22	37	23
Otu00095	77	63	60	50	46
Otu00097	91	82	69	58	52
Otu00098	17	21	10	17	21
Otu00099	71	61	70	45	44
Otu00103	21	19	17	22	18
Otu00104	59	56	44	41	33
Otu00105	22	9	5	19	9
Otu00108	52	59	47	48	41
Otu00109	56	55	41	52	46
Otu00110	70	60	47	51	52
Otu00111	68	51	51	57	48
Otu00115	44	48	53	41	27
Otu00118	68	65	54	34	36
Otu00119	41	51	47	51	49
Otu00120	34	35	33	31	32
Otu00121	77	60	62	55	53
Otu00126	90	78	77	62	51
Otu00128	14	26	13	16	17
Otu00129	52	55	56	53	45
Otu00133	39	41	37	27	27
Otu00139	66	60	42	21	18
Otu00140	11	5	22	13	15
Otu00141	59	47	46	46	45
Otu00142	23	39	20	32	25
Otu00145	38	37	30	33	29
Otu00147	72	64	51	48	48
Otu00148	61	62	52	51	44
Otu00149	49	51	36	33	32
Otu00150	52	44	47	48	38
Otu00151	58	61	42	46	42
Otu00153	48	50	30	39	26
Otu00160	57	56	44	32	26
Otu00162	68	70	52	34	30
Otu00163	51	54	32	35	33
Otu00166	47	52	32	38	27
Otu00169	24	29	12	15	27
Otu00175	62	59	56	41	37
Otu00177	52	46	50	55	53
Otu00179	49	54	41	37	37
Otu00180	39	37	29	18	13
Otu00182	33	28	25	31	29
Otu00190	28	45	32	25	22
Otu00193	39	34	30	29	33
Otu00197	75	64	55	30	41
Otu00199	40	44	28	38	32
Otu00202	57	53	33	30	28
Otu00207	43	46	33	35	27
Otu00208	30	20	25	18	22
Otu00209	14	20	13	14	18
Otu00210	10	14	6	11	10
Otu00211	37	27	27	25	32
Otu00214	49	45	38	40	33
Otu00215	42	41	40	29	31
Otu00218	21	25	21	28	25
Otu00219	62	47	34	37	45
Otu00220	79	65	65	53	51
Otu00224	46	39	17	22	15
Otu00231	12	33	17	10	19
Otu00232	45	53	40	44	41
Otu00234	59	45	27	18	19
Otu00236	49	48	31	29	28
Otu00238	52	55	28	30	32
Otu00240	7	4	4	3	5
Otu00243	41	34	37	34	26
Otu00247	9	6	5	10	10
Otu00248	74	52	44	39	29
Otu00251	28	22	23	22	18
Otu00254	52	31	38	28	31
Otu00258	33	31	26	29	30
Otu00259	12	11	5	3	4
Otu00262	44	38	28	25	29
Otu00264	45	43	41	41	44
Otu00271	34	23	29	22	27
Otu00272	40	43	30	33	19
Otu00276	17	14	35	13	11
Otu00279	33	38	23	29	31
Otu00281	8	4	2	6	5
Otu00284	75	73	47	39	24
Otu00285	14	14	9	13	11
Otu00286	14	21	13	12	16
Otu00287	28	31	33	31	32
Otu00289	8	16	10	14	18
Otu00290	39	33	31	33	26
Otu00294	34	29	31	34	28
Otu00302	36	45	21	22	19
Otu00306	21	18	11	13	20
Otu00313	40	30	31	29	24
Otu00318	11	13	4	8	8
Otu00325	66	64	54	44	43
Otu00328	28	26	27	20	26
Otu00332	26	17	19	13	17
Otu00336	69	53	37	23	10
Otu00337	19	24	11	7	12
Otu00338	47	41	36	17	21
Otu00344	27	24	17	17	16
Otu00354	4	9	9	7	4
Otu00367	6	8	3	10	10
Otu00368	24	22	13	14	11
Otu00372	13	20	18	22	19
Otu00382	37	30	34	27	26
Otu00385	21	26	10	12	8
Otu00422	51	54	38	35	40
Otu00430	35	31	25	11	11
Otu00440	34	45	23	27	15
Otu00441	2	3	3	1	4
Otu00446	15	17	7	12	8
Otu00465	16	15	13	11	15
Otu00485	30	28	26	19	26
Otu00491	15	28	11	12	14
Otu00499	9	14	6	8	12
Otu00510	29	29	15	15	9
Otu00511	11	12	12	14	9
Otu00522	20	25	13	12	22
Otu00535	23	25	17	23	22
Otu00540	10	9	3	11	10
Otu00550	13	7	9	9	13
Otu00600	14	13	6	22	18
Otu00830	16	17	7	8	7
Otu01429	10	12	3	14	9
